review/profileName,review/time,review/overall,review/taste,review/palate,review/appearance,beer/name,beer/style,beer/beerId
hopdog,1157587200,13/20,6/10,3/5,4/5,John Harvards Simcoe IPA,India Pale Ale (IPA),63836
TomDecapolis,1157241600,13/20,7/10,4/5,4/5,John Harvards Simcoe IPA,India Pale Ale (IPA),63836
hopdog,1157587200,8/20,4/10,2/5,2/5,John Harvards Fancy Lawnmower Beer,Klsch,64125
JFGrind,1107302400,14/20,7/10,3/5,2/5,John Harvards Grand Cru,Belgian Ale,71719
egajdzis,1102896000,16/20,7/10,3/5,4/5,John Harvards Grand Cru,Belgian Ale,71719
PhillyBeer2112,996105600,17/20,8/10,4/5,3/5,John Harvards Grand Cru,Belgian Ale,71719
PhillyBeer2112,958694400,11/20,5/10,2/5,4/5,John Harvards Belgian Tripel,Abbey Tripel,71715
PhillyBeer2112,958694400,14/20,7/10,3/5,3/5,John Harvards Cassis Wit,Belgian White (Witbier),1470
PhillyBeer2112,990576000,14/20,7/10,4/5,4/5,John Harvards Dr. Jekyll and Mr. Mild,Mild Ale,7721
TomDecapolis,1157587200,12/20,6/10,3/5,3/5,John Harvards Yin Yang Lager,Pale Lager,64126
hopdog,1157587200,9/20,5/10,2/5,3/5,John Harvards Yin Yang Lager,Pale Lager,64126
JJClark,1249257600,15/20,8/10,4/5,4/5,Barley Island Barrel-Aged Count Hopula,Imperial/Double IPA,91592
CaptainCougar,1245283200,15/20,8/10,4/5,4/5,Barley Island Barrel-Aged Count Hopula,Imperial/Double IPA,91592
StFun,1232841600,14/20,6/10,3/5,3/5,Barley Island Barrel-Aged Count Hopula,Imperial/Double IPA,91592
MI2CA,1222646400,13/20,4/10,4/5,4/5,Barley Island Barrel-Aged Count Hopula,Imperial/Double IPA,91592
vyvvy,1219536000,12/20,6/10,3/5,3/5,Barley Island Barrel-Aged Count Hopula,Imperial/Double IPA,91592
kp,1219017600,13/20,7/10,3/5,3/5,Barley Island Barrel-Aged Count Hopula,Imperial/Double IPA,91592
xmarcnolanx,1218758400,14/20,7/10,3/5,3/5,Barley Island Barrel-Aged Count Hopula,Imperial/Double IPA,91592
Ughsmash,1218499200,13/20,7/10,3/5,3/5,Barley Island Barrel-Aged Count Hopula,Imperial/Double IPA,91592
fiulijn,1273795200,13/20,6/10,3/5,4/5,Barley Island Dirty &quot;Old&quot; Helen Sour Ale,Sour Ale/Wild Ale,114513
