x1,x2,y
2.1232168246,-0.0876359531,3.3778730451
3.4956959688,0.0041421731,7.6071277379
1.1589108069,-1.8412818232,3.0289501568
2.4897559146,1.5678551892,1.2417218315
1.5572107893,3.2961916608,8.9386433743
3.4531638330,1.4485930350,2.4779175032
2.2563931442,-2.1170278712,11.5885665539
-0.4663198078,2.7994075210,20.0862290239
0.5206533657,-1.8093486138,0.1640849690
3.7907526829,-1.7823606602,22.8233347957
3.7707352269,3.9770723453,6.3235218565
0.6155023837,1.6899823269,6.1982490733
2.7618814535,-2.2575664111,16.8913265266
0.7393528505,0.7603111548,2.7896590248
3.4062724910,2.1933816359,2.2136147322
3.4562667914,2.2085913415,2.3140993236
-0.6105224759,-2.4808548744,-0.8384043936
3.5771239843,2.3031736818,2.6231211927
2.6984725802,3.3420056253,5.4811087101
0.7488701805,0.4504284606,2.0236180547
0.3706281950,-1.6249720161,-0.5862974961
-0.3009665510,0.9334685967,5.9001160858
3.1888677508,2.2557739511,1.9831270493
2.7936757019,2.1442930616,1.6172523247
3.9430484841,3.8079981039,5.6183680032
-0.1200273423,1.5298052973,8.7135665219
0.5940300761,-0.3846365584,0.3130185745
2.0590951030,-0.7066190263,4.7702470685
-1.1215747092,-0.5931069084,0.4892066514
2.7284329846,2.5236423090,2.4005255996
