x1,x2,x3,x4,y
1.0941111795,-2.6770738872,-1.6778407634,-1.8937691358,0.0433610289
-1.9445645935,1.8725670399,2.5400699882,-1.3405536132,6.3344613619
1.9185273696,2.3393561587,0.0778227314,-1.5302123936,1.8707392701
1.9454495766,-1.7174222197,1.4488023134,0.7796412275,12.4934429963
2.5644435512,-1.6085508684,1.7947507717,0.1089902211,34.6300787998
-1.6106662511,-2.0045760406,-0.0132661890,0.4963478437,8.2153194965
-1.8939720754,-2.9106304994,-0.1732006267,1.3694599691,4.9557171696
2.5116029506,0.7532040344,2.5027354353,2.1881415066,0.0031093989
-1.6911427605,2.1967645844,1.3845116182,-1.3328082582,4.4014250887
1.7822613191,2.1913302771,-1.2033726262,0.1622525042,25.4226553860
-2.5710791603,0.4994304609,-1.5725616022,1.5897818766,0.0066467889
-1.9582101829,-1.1235464625,-2.9131531393,-2.8046884704,0.0100258344
-0.0197889492,-0.1901247934,-2.2338580626,-1.4546249705,0.6034405112
-2.9809133442,-0.7135935131,0.4552385042,-0.4362073723,2.3109778808
2.0106140839,0.6989475085,-1.4034965279,1.8661326679,0.2424574236
-0.0030794982,1.5528619260,0.3965345180,-0.3753578307,0.1398894226
-0.6230733335,-2.8665882725,-0.1838952710,0.7413504129,2.2399565757
2.6766805261,-0.3880435190,-0.0861515815,0.1146908639,0.8954322200
-0.5484541200,0.4727743131,-2.5778959603,-0.0696970128,5.3498592286
0.6608689698,1.4632746439,-0.4210180774,-1.1831872037,0.4751470631
-2.9646598001,1.5388738209,-2.5345441788,-0.0600717740,4.0967293757
-1.1738334193,2.0449329731,2.7028551735,-1.0867525276,7.9943123608
2.3866097336,-0.9748256963,1.8726726631,1.7930615884,0.7080211974
0.9317110621,-1.6277792713,-2.1739532115,-0.4537731664,0.3516783213
-2.0907674819,2.2396376927,-1.9252394551,-2.8182320303,0.0027015981
0.3554980628,-0.4271624799,2.1515845294,-2.0350117468,0.0843765697
-0.8378778036,0.8430596210,2.5864760977,-1.4291938675,1.4062352082
1.1285904815,-2.1056840859,1.4409298405,-1.2409123019,3.1244799412
-1.5375293726,-1.6210713729,-0.7760930090,-1.0286694751,3.7081185015
0.6758500309,0.2682924011,1.4978586293,-1.2302742874,0.3815280201
