x1,x2,y
1.6437362913,-0.3667293615,2.4484476699
2.1515875195,1.1842081744,0.2850891736
-2.4349359127,2.8537341098,0.0013555857
1.5668382119,1.7163858317,0.8316102162
-2.2313182039,-0.2976843726,-0.5415410387
-0.7752118546,2.5605899331,0.8550373054
0.8631907205,1.9365696796,3.0922392460
-0.3395148070,-1.6365676693,-4.1665848274
0.3275087221,-2.6170964634,-1.1023855018
1.9657870320,0.7899863947,0.8462279402
1.5485264405,-0.8728441912,1.2802274306
2.8241881464,2.3587267279,0.0012514778
1.6703009824,-1.8321677529,-0.3181302107
-0.1996739776,-2.7371774053,-0.6355832595
-2.0742630476,1.0982937195,-0.2753453108
1.4685729354,2.8050583946,0.0781644269
-1.0450478512,-0.7772417638,1.6694869547
-0.1826651323,-1.8631718455,-4.9651246389
-2.2204709680,-0.1457704426,-0.6355725579
-1.6385439057,1.0188839681,-0.6946522772
-0.3770884868,1.9960691763,5.1181791792
1.2015906120,-1.1258001517,-0.2577068229
1.9935588084,1.8285861450,0.1855852182
-0.6751297258,-1.2700313764,0.3721244638
1.0949730238,-2.1614850983,-1.3236467117
-1.8005507851,-2.9558263815,0.0052738985
1.7215462650,0.9891051396,1.1083785554
1.2309922718,1.6843741861,1.9540405827
-0.2465053468,0.4124471757,0.9211679876
-2.1612180112,-2.3128195588,0.0157886502
