x1,x2,y
1.0941111795,-2.6770738872,0.3107255648
-1.6778407634,-1.8937691358,-0.5308674892
-1.9445645935,1.8725670399,0.8964367685
2.5400699882,-1.3405536132,-0.8547240850
1.9185273696,2.3393561587,-1.9019782934
0.0778227314,-1.5302123936,0.0524449730
1.9454495766,-1.7174222197,0.0844543374
1.4488023134,0.7796412275,0.5548711330
2.5644435512,-1.6085508684,-1.7739271610
1.7947507717,0.1089902211,1.2965140123
-1.6106662511,-2.0045760406,1.5999064965
-0.0132661890,0.4963478437,-0.0032579509
-1.8939720754,-2.9106304994,-0.6685710590
-0.1732006267,1.3694599691,-0.1424963999
2.5116029506,0.7532040344,1.8311255508
2.5027354353,2.1881415066,-2.4849070676
-1.6911427605,2.1967645844,-1.5310064362
1.3845116182,-1.3328082582,1.1982246255
1.7822613191,2.1913302771,-1.6138927066
-1.2033726262,0.1622525042,-1.1218433130
-2.5710791603,0.4994304609,0.9547773491
-1.5725616022,1.5897818766,-1.3378707248
-1.9582101829,-1.1235464625,-1.8472064856
-2.9131531393,-2.8046884704,2.9089215199
-0.0197889492,-0.1901247934,-0.0007926017
-2.2338580626,-1.4546249705,-2.1974170068
-2.9809133442,-0.7135935131,-2.9390793844
0.4552385042,-0.4362073723,0.3505492377
2.0106140839,0.6989475085,-0.1476733108
-1.4034965279,1.8661326679,1.3026115872
